Date,Interest_Rate,CPI,Inflation,Unemployment_Rate
1990-01-01,8.23,127.5,,5.4
1990-02-01,8.24,128.0,,5.3
1990-03-01,8.28,128.6,,5.2
1990-04-01,8.26,128.9,,5.4
1990-05-01,8.18,129.1,,5.4
1990-06-01,8.29,129.9,,5.2
1990-07-01,8.15,130.5,,5.5
1990-08-01,8.13,131.6,,5.7
1990-09-01,8.2,132.5,,5.9
1990-10-01,8.11,133.4,,5.9
1990-11-01,7.81,133.7,,6.2
1990-12-01,7.31,134.2,,6.3
1991-01-01,6.91,134.7,5.647058823529405,6.4
1991-02-01,6.25,134.8,5.312500000000009,6.6
1991-03-01,6.12,134.8,4.821150855365497,6.8
1991-04-01,5.91,135.1,4.809930178432875,6.7
1991-05-01,5.78,135.6,5.034856700232382,6.9
1991-06-01,5.9,136.0,4.695919938414161,6.9
1991-07-01,5.82,136.2,4.367816091954024,6.8
1991-08-01,5.66,136.6,3.7993920972644313,6.9
1991-09-01,5.45,137.0,3.396226415094339,6.9
1991-10-01,5.21,137.2,2.8485757121439192,7.0
1991-11-01,4.81,137.8,3.0665669409125185,7.0
1991-12-01,4.43,138.2,2.980625931445613,7.3
1992-01-01,4.03,138.3,2.672605790645899,7.3
1992-02-01,4.06,138.6,2.8189910979228294,7.4
1992-03-01,3.98,139.1,3.189910979228472,7.4
1992-04-01,3.73,139.4,3.1828275351591495,7.4
1992-05-01,3.82,139.7,3.0235988200590036,7.6
1992-06-01,3.76,140.1,3.0147058823529305,7.8
1992-07-01,3.25,140.5,3.1571218795888534,7.7
1992-08-01,3.3,140.8,3.0746705710102518,7.6
1992-09-01,3.22,141.1,2.9927007299270114,7.6
1992-10-01,3.1,141.7,3.279883381924198,7.3
1992-11-01,3.09,142.1,3.1204644412191396,7.4
1992-12-01,2.92,142.3,2.966714905933454,7.4
1993-01-01,3.02,142.8,3.2537960954446943,7.3
1993-02-01,3.03,143.1,3.2467532467532534,7.1
1993-03-01,3.07,143.3,3.0194104960460155,7.0
1993-04-01,2.96,143.8,3.1563845050215145,7.1
1993-05-01,3.0,144.2,3.2211882605583497,7.1
1993-06-01,3.04,144.3,2.9978586723768963,7.0
1993-07-01,3.06,144.5,2.8469750889679624,6.9
1993-08-01,3.03,144.8,2.840909090909083,6.8
1993-09-01,3.09,145.0,2.7639971651311157,6.7
1993-10-01,2.99,145.6,2.752293577981657,6.8
1993-11-01,3.02,146.0,2.7445460942997935,6.6
1993-12-01,2.96,146.3,2.8109627547435068,6.5
1994-01-01,3.05,146.3,2.450980392156854,6.6
1994-02-01,3.25,146.7,2.515723270440251,6.6
1994-03-01,3.34,147.1,2.6517794836008246,6.5
1994-04-01,3.56,147.2,2.364394993045882,6.4
1994-05-01,4.01,147.5,2.288488210818307,6.1
1994-06-01,4.25,147.9,2.494802494802495,6.1
1994-07-01,4.26,148.4,2.69896193771626,6.1
1994-08-01,4.47,149.0,2.900552486187835,6.0
1994-09-01,4.73,149.3,2.965517241379323,5.9
1994-10-01,4.76,149.4,2.609890109890123,5.8
1994-11-01,5.29,149.8,2.602739726027403,5.6
1994-12-01,5.45,150.1,2.597402597402576,5.5
1995-01-01,5.53,150.5,2.8708133971291794,5.6
1995-02-01,5.92,150.9,2.862985685071595,5.4
1995-03-01,5.98,151.2,2.7872195785180187,5.4
1995-04-01,6.05,151.8,3.125000000000022,5.8
1995-05-01,6.01,152.1,3.1186440677966054,5.6
1995-06-01,6.0,152.4,3.0425963488843744,5.6
1995-07-01,5.85,152.6,2.8301886792452713,5.7
1995-08-01,5.74,152.9,2.6174496644295386,5.7
1995-09-01,5.8,153.1,2.54521098459477,5.6
1995-10-01,5.76,153.5,2.7443105756358666,5.5
1995-11-01,5.8,153.7,2.603471295060067,5.6
1995-12-01,5.6,153.9,2.5316455696202667,5.6
1996-01-01,5.56,154.7,2.7906976744185963,5.6
1996-02-01,5.22,155.0,2.717031146454607,5.5
1996-03-01,5.31,155.5,2.8439153439153486,5.5
1996-04-01,5.22,156.1,2.832674571805005,5.6
1996-05-01,5.24,156.4,2.827087442472065,5.6
1996-06-01,5.27,156.7,2.8215223097112663,5.3
1996-07-01,5.4,157.0,2.8833551769331667,5.5
1996-08-01,5.22,157.2,2.8122956180510084,5.1
1996-09-01,5.3,157.7,3.0045721750489918,5.2
1996-10-01,5.24,158.2,3.0618892508143203,5.2
1996-11-01,5.31,158.7,3.2530904359141077,5.4
1996-12-01,5.29,159.1,3.378817413905133,5.4
1997-01-01,5.25,159.4,3.0381383322559907,5.3
1997-02-01,5.19,159.7,3.0322580645161246,5.2
1997-03-01,5.39,159.8,2.7652733118971096,5.2
1997-04-01,5.51,159.9,2.434336963484962,5.1
1997-05-01,5.5,159.9,2.237851662404089,4.9
1997-06-01,5.56,160.2,2.233567326100827,5.0
1997-07-01,5.52,160.4,2.165605095541401,4.9
1997-08-01,5.54,160.8,2.2900763358778775,4.8
1997-09-01,5.54,161.2,2.21940393151554,4.9
1997-10-01,5.5,161.5,2.0859671302149163,4.7
1997-11-01,5.52,161.7,1.8903591682419618,4.6
1997-12-01,5.5,161.8,1.6970458830924073,4.7
1998-01-01,5.56,162.0,1.6311166875784044,4.6
1998-02-01,5.51,162.0,1.440200375704448,4.6
1998-03-01,5.49,162.0,1.3767209011263937,4.7
1998-04-01,5.45,162.2,1.4383989993745905,4.3
1998-05-01,5.49,162.6,1.6885553470919357,4.4
1998-06-01,5.56,162.8,1.6229712858926382,4.5
1998-07-01,5.54,163.2,1.74563591022443,4.5
1998-08-01,5.55,163.4,1.6169154228855787,4.5
1998-09-01,5.51,163.5,1.4267990074441794,4.6
1998-10-01,5.07,163.9,1.4860681114551078,4.5
1998-11-01,4.83,164.1,1.4842300556586308,4.4
1998-12-01,4.68,164.4,1.606922126081578,4.4
1999-01-01,4.63,164.7,1.6666666666666607,4.3
1999-02-01,4.76,164.7,1.6666666666666607,4.4
1999-03-01,4.81,164.8,1.7283950617283939,4.2
1999-04-01,4.74,165.9,2.281134401972884,4.3
1999-05-01,4.74,166.0,2.091020910209096,4.2
1999-06-01,4.76,166.0,1.9656019656019597,4.3
1999-07-01,4.99,166.7,2.1446078431372584,4.3
1999-08-01,5.07,167.1,2.2643818849449104,4.2
1999-09-01,5.22,167.8,2.629969418960254,4.2
1999-10-01,5.2,168.1,2.56253813300793,4.1
1999-11-01,5.42,168.4,2.6203534430225606,4.1
1999-12-01,5.3,168.8,2.676399026763998,4.0
2000-01-01,5.45,169.3,2.792956891317555,4.0
2000-02-01,5.73,170.0,3.2179720704310855,4.1
2000-03-01,5.85,171.0,3.762135922330101,4.0
2000-04-01,6.02,170.9,3.013863773357439,3.8
2000-05-01,6.27,171.2,3.1325301204819134,4.0
2000-06-01,6.53,172.2,3.7349397590361377,4.0
2000-07-01,6.54,172.7,3.5992801439711952,4.0
2000-08-01,6.5,172.7,3.3512866546977715,4.1
2000-09-01,6.52,173.6,3.45649582836709,3.9
2000-10-01,6.51,173.9,3.4503271861986873,3.9
2000-11-01,6.51,174.2,3.444180522565321,3.9
2000-12-01,6.4,174.6,3.4360189573459543,3.9
2001-01-01,5.98,175.6,3.7212049616065945,4.2
2001-02-01,5.49,176.0,3.529411764705892,4.2
2001-03-01,5.31,176.1,2.9824561403508643,4.3
2001-04-01,4.8,176.4,3.2182562902282053,4.4
2001-05-01,4.21,177.3,3.5630841121495394,4.3
2001-06-01,3.97,177.7,3.193960511033689,4.5
2001-07-01,3.77,177.4,2.7214823393167498,4.6
2001-08-01,3.65,177.4,2.7214823393167498,4.9
2001-09-01,3.07,178.1,2.5921658986175045,5.0
2001-10-01,2.49,177.6,2.127659574468077,5.3
2001-11-01,2.09,177.5,1.894374282433997,5.5
2001-12-01,1.82,177.4,1.603665521191311,5.7
2002-01-01,1.73,177.7,1.1958997722095743,5.7
2002-02-01,1.74,178.0,1.1363636363636465,5.7
2002-03-01,1.73,178.5,1.3628620102214661,5.7
2002-04-01,1.75,179.3,1.643990929705219,5.9
2002-05-01,1.75,179.5,1.2408347433727984,5.8
2002-06-01,1.75,179.6,1.0692177827799743,5.8
2002-07-01,1.73,180.0,1.465614430665152,5.8
2002-08-01,1.74,180.5,1.747463359639223,5.7
2002-09-01,1.75,180.8,1.516002245929271,5.7
2002-10-01,1.75,181.2,2.0270270270270174,5.7
2002-11-01,1.34,181.5,2.2535211267605604,5.9
2002-12-01,1.24,181.8,2.4802705749718212,6.0
2003-01-01,1.24,182.6,2.757456387169399,5.8
2003-02-01,1.26,183.6,3.146067415730336,5.9
2003-03-01,1.25,183.9,3.025210084033625,5.9
2003-04-01,1.26,183.2,2.175125488008911,6.0
2003-05-01,1.26,182.9,1.8941504178273005,6.1
2003-06-01,1.22,183.1,1.948775055679297,6.3
2003-07-01,1.01,183.7,2.055555555555544,6.2
2003-08-01,1.03,184.5,2.216066481994461,6.1
2003-09-01,1.01,185.1,2.378318584070782,6.1
2003-10-01,1.01,184.9,2.041942604856528,6.0
2003-11-01,1.0,185.0,1.9283746556473913,5.8
2003-12-01,0.98,185.5,2.0352035203520247,5.7
2004-01-01,1.0,186.3,2.026286966046009,5.7
2004-02-01,1.01,186.7,1.688453159041381,5.6
2004-03-01,1.0,187.1,1.7400761283306032,5.8
2004-04-01,1.0,187.4,2.2925764192139875,5.6
2004-05-01,1.0,188.2,2.8977583378895444,5.6
2004-06-01,1.03,188.9,3.1676679410158393,5.6
2004-07-01,1.26,189.1,2.939575394665228,5.5
2004-08-01,1.43,189.2,2.5474254742547275,5.4
2004-09-01,1.61,189.8,2.5391680172879516,5.4
2004-10-01,1.76,190.8,3.1909140075716547,5.5
2004-11-01,1.93,191.7,3.621621621621607,5.4
2004-12-01,2.16,191.7,3.3423180592991875,5.4
2005-01-01,2.28,191.6,2.8448738593666034,5.3
2005-02-01,2.5,192.4,3.0530262453133394,5.4
2005-03-01,2.63,193.1,3.2068412613575736,5.2
2005-04-01,2.79,193.7,3.3617929562433257,5.2
2005-05-01,3.0,193.6,2.869287991498415,5.1
2005-06-01,3.04,193.7,2.541026998411855,5.0
2005-07-01,3.26,194.9,3.067160232681121,5.0
2005-08-01,3.5,196.1,3.6469344608879517,4.9
2005-09-01,3.62,198.8,4.741833508956805,5.0
2005-10-01,3.78,199.1,4.350104821802936,5.0
2005-11-01,4.0,198.1,3.3385498174230532,5.0
2005-12-01,4.16,198.1,3.3385498174230532,4.9
2006-01-01,4.29,199.3,4.018789144050117,4.7
2006-02-01,4.49,199.4,3.63825363825363,4.8
2006-03-01,4.59,199.7,3.4179181771103018,4.7
2006-04-01,4.79,200.7,3.613835828600931,4.7
2006-05-01,4.94,201.3,3.9772727272727293,4.6
2006-06-01,4.99,201.8,4.1817243159525175,4.6
2006-07-01,5.24,202.9,4.104669061056954,4.7
2006-08-01,5.25,203.8,3.926568077511483,4.7
